"Name" "Mac Adresse" "Entfernung" "Zeit in ms" "RSSI" "Nordic chip" "Wasserdicht" "On/Off Button"
"104" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5340" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"105" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5500" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"106" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5634" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"107" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5790" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"108" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5946" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"109" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "5948" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"110" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6086" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"111" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6218" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"112" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6220" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"113" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6374" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"114" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6526" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"115" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6594" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"116" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6736" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"117" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6880" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"118" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "6948" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"119" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7020" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"120" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7166" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"121" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7168" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"122" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7520" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"123" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7678" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"124" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7818" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"125" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7888" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"126" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7960" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"127" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "7962" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"128" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "8116" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"129" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "8118" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"130" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "8264" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"131" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "8412" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"132" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "8828" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"133" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9208" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"134" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9276" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"135" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9360" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"136" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9362" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"137" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9514" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"138" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9516" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"139" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "9884" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"140" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10028" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"141" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10030" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"142" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10176" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"143" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10330" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"144" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10616" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"145" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10618" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"146" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10768" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"147" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10770" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"148" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "10928" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"149" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11252" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"150" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11324" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"151" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11664" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"152" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11742" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"153" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11814" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"154" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11816" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"155" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "11982" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"156" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "12050" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"157" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "12372" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"158" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "12534" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"159" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "12806" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"160" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "12892" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"161" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "12894" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"162" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "13274" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"163" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "13276" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"164" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "13624" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"165" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "13792" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"166" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "13794" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"167" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "13946" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"168" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "14224" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"169" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "14226" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"170" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "14574" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"171" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15112" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"172" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15290" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"173" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15462" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"174" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15648" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"175" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15650" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"176" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15814" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"177" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "15884" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"178" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "16026" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"179" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "16498" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"180" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "16500" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"181" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "17268" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"182" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "17596" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"183" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "17598" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"184" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "17764" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"185" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "17952" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"186" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "18196" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"187" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "18198" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"188" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "18466" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
"189" "Gigaset-keeper" "7C:2F:80:C2:6E:4F" "0 m" "18552" "-38" "BLE 4.0 chip nicht bekannt" "nein" "nein"
